S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name,Type of work,,What is it,Number of bids,Amount,Bid winner,Org name,Tender ref number,Tender description,Tender type,number of bids received,name of bidder,address of bidder,contract value,tender published date
133,07-Sep-2020 12:00 AM,31-Jul-2020 4:00 PM,Supply of MedicineItems Under Covid 19 Purchase Requirement For 202021/ 02/2020-21 / 2020_SANGL_599730_1,Maharashtra,Goods,,Covid Treatment,3,669492.5,"VISHAL ENTERPRISE,Susham Pharma,DATTA PHARMA AGENCY","About 3000 boughtDexamethasone - 3.85,amoxyclave - 25.7, amikacin - 21.26, IV fluid - 18.50, Oeseltamivit - 21.53",,,,,,,,
134,06-Oct-2020 12:00 AM,31-Jul-2020 10:45 AM,Repairs To Rural Hospital Lanja Tal. Lanja Dist. Ratnagiri.(Under Covid -19)./ NIT- 22 for 2020-2021 / 2020_PWR_599652_3,Maharashtra,Works,,Covid Ward,3,912695,shadab kazi,,,,,,,,,
135,25-Aug-2020 12:00 AM,31-Jul-2020 10:15 AM,Homeopathy Drugs And Medicine namely Arsenic Album&amp;#x0d; 30 required in 100 Globules Size - 30 No.in 2 Drum Size&amp;#x0d; Plastic Bottle with Thread Cao/ RTN/GAD/GP/COVID-19/1970/2020 / 2020_RATNA_599646_1,Maharashtra,Goods,,Covid Allied Work - Homeopathy,4,4991000,SUMAN HOMOEO PHARMACY,5.40 for 1 bottle arsenic - Homeopathy,,,,,,,,
136,22-Oct-2020 12:00 AM,29-Jul-2020 6:55 PM,Online Rate Contract Tender for Supply of COVID-19 Test Kits for Various Hospitals of Government of Madhya Pradesh for a Period of 6 months/ T-088/ MPPHSCL/ COVID-19 Test Kits/ RC/2020 / 2020_PHSCL_99915_1,Madhya Pradesh,Goods,,Covid Detection,5,45920000,SD Biosensor Hrealthcare Pvt. Ltd.,Price per kit for SAR-COV2 - rapid antigen kit - 11480,,,,,,,,
137,11-Aug-2020 12:00 AM,29-Jul-2020 4:00 PM,"Mtc of EI in Govt. Non residential building at Chandigarh. (Hiring of 62 KVA DG set on A/C of Covid care centre in Govt. High School, Sec-12, PGIMER Campus, Chandigarh)/ E2/20/115 / 2020_CHD_56288_1",Chandigarh UT,Works,,Covid Ward,4,272000,M/S Vikram Electricals,,,,,,,,,
138,19-Oct-2020 12:00 AM,29-Jul-2020 3:00 PM,As a preventive measure Covid-19 To Set containment zones pavilions chairs satranji water jars etc should be provided at the place where the positive patient is found/ MC/HealthD/2020-21/1 / 2020_DMA_599071_1,Maharashtra,Services,,Covid Prevention,3,3464,Planet Swayamrojgar Sahakari Sanstha Osmanabad,,,,,,,,,
139,29-Sep-2020 12:00 AM,29-Jul-2020 10:00 AM,Sambhunath Pandit Hospital __ Emergent construction of temporary waiting area with partition for separation of SNPH Sub_Division PWD Office _Civil and Electrical_ from SNPH Saliva Collection Centre in connection with COVID_19 during the year 2020_21/ WBPWD/KSHD/EE/NIT-24 OF 2020-2021 / 2020_WBPWD_291255_1,West Bengal,Works,,Covid Ward,8,298202,SAHA ENTERPRISE,,,,,,,,,
140,15-Sep-2020 12:00 AM,29-Jul-2020 9:00 AM,PROPOSED CONSTRUCTION OF TEMPARORY COVID CENTRE FOR PCMC AT WARD NO. 10 AUTOCLUSTER/ CIVIL/AHO/10/01/2020-2021 / 2020_PCMCP_598923_1,Maharashtra,Works,,Covid Ward,5,7444936,Shivam Enterprises,,,,,,,,,
141,02-Oct-2020 12:00 AM,28-Jul-2020 11:00 AM,Est.No.1387/2020-21 Providing Electrical installation in Proposed Covid-19 Testing Laboratary at Hingoli Dist. Hingoli (Part A plus B)/ Etender/Notice16/2020-21 / 2020_PWDM_598659_2,Maharashtra,Works,,Covid Detection,2,1042325,JAY ENTERPRISES,,,,,,,,,
142,21-Sep-2020 12:00 AM,28-Jul-2020 11:00 AM,"Est.No. OW/ 1351 /2020-21 Providing Addition and Alteration to Electrification to Boys Hostel of Govt Polytechnic,Beed, Dist Beed(For Covid-19)/ Etender/Notice15/2020-21 / 2020_PWDM_598653_2",Maharashtra,Works,,Covid Ward,7,780372.5,SHIVANSH ELECTRICAL AND CONTRACTORS,,,,,,,,,
143,24-Sep-2020 12:00 AM,28-Jul-2020 11:00 AM,Est.no. OW/1366 /2020-21 Providing Specified Reapairs to Internal Electrification to Government Residential School Boys At Shirur Kasar Tq Shirur Kasar Dist Beed (For Covid-19)/ Etender/Notice15/2020-21 / 2020_PWDM_598653_5,Maharashtra,Works,,Covid Ward,6,869033.38,SHIVANSH ELECTRICAL AND CONTRACTORS,,,,,,,,,
144,16-Dec-2020 12:00 AM,28-Jul-2020 10:00 AM,"232001 of 2020-2021 Prov. Repairs to E. I. in Rural Hospital at Aundh, Tal.- Khatav, Dist.Satara ( for COVID-19 work )/ eTender Notice No.14 of 2020.21 / 2020_PWDM_597679_2",Maharashtra,Works,,Covid Ward,3,360852,Ganesh Electricals and Developers,,,,,,,,,
145,13-Oct-2020 12:00 AM,28-Jul-2020 10:00 AM,"133215 of 2020-2021 Prov. Addition and Aleration to E. I. in Proposed Isolation wrad for COVID-19 in Sub District Hospital Premises Phaltan, Dist. Satara ( for COVID-19 work )/ eTender Notice No.14 of 2020.21 / 2020_PWDM_597679_3",Maharashtra,Works,,Covid Ward,3,441204,M/s Vijayalaxmi Engineers &ampamp Contractors,,,,,,,,,
146,15-Dec-2020 12:00 AM,28-Jul-2020 10:00 AM,"131415 of 2020-2021 Prov. Split type AC Units for Old Male ward to be converted in to New ICU for COVID at Govt. Civil Hospital at Satara, Dist.- Satara ( for COVID-19 work )/ eTender Notice No.14 of 2020.21 / 2020_PWDM_597679_6",Maharashtra,Works,,Covid Ward,3,512142,RAJ ENTERPRISES,,,,,,,,,
147,15-Dec-2020 12:00 AM,28-Jul-2020 10:00 AM,"132003 of 2020-2021 Prov. AC Units to OT, PM Room and Water Cooler, Purifier to Rural Hospital ( Phase II ) at Kashil, Dist. Satara ( for COVID-19 work )/ eTender Notice No.14 of 2020.21 / 2020_PWDM_597679_4",Maharashtra,Works,,Covid Ward,3,552129,RAJ ENTERPRISES,,,,,,,,,
148,15-Dec-2020 12:00 AM,28-Jul-2020 10:00 AM,"133210 of 2020-2021 Prov. E. I. in Newly Constructed PHC Building for Covid -19 at Loham, Tal.- Khandala, Dist.- Satara ( for COVID-19 work )/ eTender Notice No.14 of 2020.21 / 2020_PWDM_597679_8",Maharashtra,Works,,Covid Ward,3,609080,Pawar Electrical and Electronics works,,,,,,,,,
149,05-Sep-2020 12:00 AM,27-Jul-2020 5:00 PM,"Repairing of Quarter B_5, D_4, D_13 including repair and renovation of night duty doctors rest room_2nd floor_with other allied works In connection with Covid_19 care at Vidyasagar SG Hospital, Behala, Kolkata_34 during 202_21_Building and S and P/ WBPWD/KSHD/EE/NIT-23 OF 2020-2021 / 2020_WBPWD_291073_1",West Bengal,Works,,Covid HCW,5,296211,S. ROY AND CO.,,,,,,,,,
150,16-Sep-2020 12:00 AM,27-Jul-2020 10:00 AM,"Pune shaharatil mukhya rastyavar darshani bhagat COVID-19 jan jagrutipar holding flex printing mounting, COVID center sathi flex, baners, posters, chapai va Audio clip va visual clip karne/ PMC/HEALTH/JANMMRUTYU/20-21/01 / 2020_PMCP_598056_1",Maharashtra,Works,,Covid Information,5,1680528.5,SHINDE BUILDCON PVT LTD,,,,,,,,,
151,01-Oct-2020 12:00 AM,24-Jul-2020 6:00 PM,Urgent Information and Awareness Display Board for COVID-19 and Vector Borne Diseases at different places of MKDA Area/ NIT-18/MKDA/2020-21 / 2020_MKDA_290838_1,West Bengal,Works,,Covid Information,4,1680528.5,SAMBHU ART AND PRINTERS,,,,,,,,,
152,21-Sep-2020 12:00 AM,23-Jul-2020 1:30 PM,To Provide snacks and meals at the Isolation and Qurantine center under covid -19 in MBMC area./ MBMC/PWD/Re_Tender/33/20-21 / 2020_MBMC_596933_1,Maharashtra,Goods,,Covid Diet,20,156,"CHEFTALK FOOD AND HOSPITALITY SERVICES PRIVATE LIMITED,Kapco Banquets and Catering Pvt. Ltd.,Hotel Prashant NX",,,,,,,,,
153,02-Dec-2020 12:00 AM,22-Jul-2020 6:30 PM,"Procurement of different medical equipment for COVID 19 testing laboratories in Phase 2/ WBMSCL/NIT-114/2020, Dated-22.07.2020 / 2020_WBMSC_290661_1",West Bengal,Goods,,Covid Detection,8,53929080,"PATEL CHEM DE DRUGS,BIO RAD LABORATORIES INDIA PVT LTD,Imperial Life Sciences Pvt Ltd,Utsav Agency","10 pcrs at 1095000 each, RNA extraction platform - 2799900.00 for 1, high speed centrifuge: 285000.00",,,,,,,,
154,17-Sep-2020 12:00 AM,22-Jul-2020 5:30 PM,"Providing aluminium partition with air conditioner arrangements and inner wall paintings in the first floor for installation of GeneXpert system CBNAAT for detection of COVID-19 at District model laboratory, Govt. General Hospital, Karaikal./ 12/PW/BRK/KKL/2020-21 / 2020_PWDC3_6426_1",Puducherry UT,Works,,Covid Detection,3,354186,K.R. NAGENDIRAN,,,,,,,,,
155,01-Oct-2020 12:00 AM,22-Jul-2020 5:15 PM,Re-Tender inviting for Purchase of Fully Automated Chemiluminescence Analyser with Reagent and&amp;#x0d; Consuambales/ SCSMSRS/STORE/9242/2020/Covid 19 Chem. Anal / 2020_MERDM_593462_2,Maharashtra,Goods,,Covid Detection,2,3499999,Roche Diagnostics India Private Ltd.,1 automated chemiluminescence analyzer - 3499999,,,,,,,,
156,27-Oct-2020 12:00 AM,20-Jul-2020 6:20 PM,"Est. No. 438/19-20 Providing Conference type sound system at Training Hall at Collector Office Barshi Road, Latur.Dist. Latur. (Covid -19 Necessary Work)/ Tender Notice no 10/20-21 Est. No. 438 / 2020_PWDM_596369_1",Maharashtra,Works,,Covid Allied work,3,650209,"Vishnuprem Electricals and Associates,Badami Electricals Engineers,DATTAKRUPA VIDHUTKAM AUDHOGIK SAHAKARI SANSTA LIMITED LATUR",,,,,,,,,
157,27-Oct-2020 12:00 AM,20-Jul-2020 6:00 PM,"Est. No. 437/19-20 Providing Projector system for newly constructed training Hall at collector office,barshi road, Latur. Dist. Latur. (Covid -19 Necessary Work)/ Tender Notice no 10/20-21 Est. No. 437 / 2020_PWDM_596354_1",Maharashtra,Works,,Covid Allied work,3,666287,"Vishnuprem Electricals and Associates,Badami Electricals Engineers,DATTAKRUPA VIDHUTKAM AUDHOGIK SAHAKARI SANSTA LIMITED LATUR",,,,,,,,,
158,29-Oct-2020 12:00 AM,20-Jul-2020 5:30 PM,"Est. No. 110 /20-21 Providing Fire safety Foundation and Metal Jail for Collector office, Barshi Road Latur. Dist. Latur. (Covid -19 Necessary Work)/ Tender Notice no 10/20-21 Est. No. 110 / 2020_PWDM_596332_1",Maharashtra,Works,,Covid Allied work,3,453168,"Vishnuprem Electricals and Associates,Badami Electricals Engineers,DATTAKRUPA VIDHUTKAM AUDHOGIK SAHAKARI SANSTA LIMITED LATUR",,,,,,,,,
159,29-Oct-2020 12:00 AM,20-Jul-2020 5:00 PM,"Est. No. 109/20-21 Providing A/A to E.I. for Newly Installed D.G. set for Collector office, Barshi Road Latur. Dist. Latur. (Covid -19 Necessary Work)/ Tender Notice no 10/20-21 Est. No. 109 / 2020_PWDM_596285_1",Maharashtra,Works,,Covid Allied work,3,417786,"Vishnuprem Electricals and Associates,Badami Electricals Engineers,DATTAKRUPA VIDHUTKAM AUDHOGIK SAHAKARI SANSTA LIMITED LATUR",,,,,,,,,
160,06-Aug-2020 12:00 AM,20-Jul-2020 5:00 PM,"Procurement of Viral RNA Extraction Kit for Covid 19 testing (Column based)/ WBMSCL/NIT-109/2020, Dated-20.07.2020 / 2020_WBMSC_290409_1",West Bengal,Goods,,Covid Detection,8,11000000,Himedia Laboratories Pvt.Ltd,55 rs for 1 kit,,,,,,,,
161,29-Oct-2020 12:00 AM,20-Jul-2020 4:00 PM,"Est. No. 108/20-21 Providing 82.5 KVA Diesel Generator for Collector office, Barshi Road Latur. Dist. Latur. (Covid -19 Necessary Work)/ E Tender Notice no 10/20-21 Est. No. 108 / 2020_PWDM_596264_1",Maharashtra,Works,,Covid Allied work,3,650104,"Vishnuprem Electricals and Associates,Badami Electricals Engineers,DATTAKRUPA VIDHUTKAM AUDHOGIK SAHAKARI SANSTA LIMITED LATUR",,,,,,,,,
162,08-Sep-2020 12:00 AM,20-Jul-2020 10:30 AM,Purchase of Drugs and Consumables required for The treatment of Covid19 at District Hospital Aurangabad/ CS/Aurangabad/eTender No 8/2020-21 / 2020_DHS_596140_1,Maharashtra,Goods,,Covid Treatment,4,6200000,"girish medicose,Chandak Medical Stores,SHRI BALAJI AGENCIES","cetrizine - 0.12/drug, plastic apron - 8.99/apron, body cover -388/cover.prednisalon -26.40 /40mg, mixtard -118/10ml, enoxaparin - 134/0.4ml, meropenam - 129/1gm,",,,,,,,,
163,08-Sep-2020 12:00 AM,20-Jul-2020 10:30 AM,Purchase of Drugs required for&amp;#x0d; The treatment of Covid19 at District Hospital Autangabad/ CS/Aurangabad/eTender No 7/2020-21 / 2020_DHS_596137_1,Maharashtra,Goods,,Covid Treatment,2,3500000,"getwell distributors,K K DRUGS","cetrizine - 0.12/drug, plastic apron - 8.99/apron, body cover -388/cover.prednisalon -26.40 /40mg, mixtard -118/10ml, enoxaparin - 134/0.4ml, meropenam - 129/1gm,",,,,,,,,
164,04-Aug-2020 12:00 AM,18-Jul-2020 2:30 PM,Emergency work for making functional as COVID-19 Hospital at Kharagpur Sub-Divisional Hospital at Kharagpur in the District of Paschim Medinipur under P.W.D. Midnapur Division during the year of 2020-2021./ WBPWD/5(2)/EE/MID-DIV/2020-21 / 2020_WBPWD_290240_1,West Bengal,Works,,Covid Ward,3,2010580,Biswajit Bera,,,,,,,,,
165,29-Jul-2020 12:00 AM,17-Jul-2020 6:50 PM,Providing catering services/Running Canteen services for Safe Home A Covid care facility at Madinatul Hujjaj/ WBSHC/e- NIQ/01/2020-21 / 2020_MAMED_290167_1,West Bengal,Services,,Covid Diet,3,273,"Moti Confectionery Private Limited,Chishty Enterprise,Biswas Canteen",273/plate,,,,,,,,
166,17-Nov-2020 12:00 AM,16-Jul-2020 6:00 PM,Online Rate Contract Tender for Supply of COVID-19 consumables and Kits to Various Hospitals of Government of Madhya Pradesh for a Period of 18 months/ T-085/MPPHSCL/COVID-19 consumables and Kits/RC/202 / 2020_PHSCL_98336_1,Madhya Pradesh,Goods,,Covid Treatment,59,808186869.4,"S.K.Traders,PARASNATH AND COMPANY,Deepali Designs and Exhibits Pvt Ltd,Imperial Life Sciences Pvt Ltd,SHREE CHEM","194 rs/1box 100 masks, RTPCR kit at 24976/kit - 25000 kit, viral trasnport medium -6550/ 1 kit 150 in it and with 16657 ordered",,,,,,,,
167,02-Oct-2020 12:00 AM,16-Jul-2020 10:00 AM,Est.no. OW/ 1358/2020-21 Providing Specified Reapairs to Internal Electrification to Government B.C. Gilrls Hostel At Shirur Kasar Tq Shirur Kasar Dist Beed (For Covid-19)/ Etender/Notice12/2020-21 / 2020_PWDM_595001_8,Maharashtra,Works,,Covid Allied,6,638004.82,JAY ENTERPRISES,,,,,,,,,
168,24-Sep-2020 12:00 AM,16-Jul-2020 10:00 AM,"Est.no. OW/ 1352/2020-21 Providing Specified Repairs to Internal Electrification to Government B.C. Boys Hostel at Ambajogai,Tal Ambajogai,Dist.Beed (For Covid-19)/ Etender/Notice12/2020-21 / 2020_PWDM_595001_2",Maharashtra,Works,,Covid Allied,5,638004.82,SHITAL HIGHTECH,,,,,,,,,
169,21-Sep-2020 12:00 AM,16-Jul-2020 10:00 AM,"Est.no. 1368 /2020-21 Providing Specified Repairs to Internal Electrification to Government B.C. Girls Hostel at Shivaji Putala,Tal and Dist.Beed (For Covid-19)/ Etender/Notice12/2020-21 / 2020_PWDM_595001_10",Maharashtra,Works,,Covid Allied,4,443808.2,JAY ENTERPRISES,,,,,,,,,
170,24-Sep-2020 12:00 AM,16-Jul-2020 10:00 AM,Est.no. OW/ 1353/2020-21 Providing Specified Reapairs to Internal Electrification to Government B.C. Boys Hostel At Kaij Tq Kaij Dist Beed (For Covid-19)/ Etender/Notice12/2020-21 / 2020_PWDM_595001_3,Maharashtra,Works,,Covid Allied,9,638004.82,MAHALAXMI CONSTRUCTION,,,,,,,,,
171,20-Sep-2020 12:00 AM,16-Jul-2020 10:00 AM,Est.no. OW/ 1355/2020-21 Providing Specified Reapairs to Internal Electrification to Government B.C. Boys Hostel At Patoda Tq Patoda Dist Beed (For Covid-19)/ Etender/Notice12/2020-21 / 2020_PWDM_595001_5,Maharashtra,Works,,Covid Allied,3,638004.82,M/S Vedant Electricals,,,,,,,,,
172,21-Sep-2020 12:00 AM,16-Jul-2020 10:00 AM,Est.no. OW/ 1356/2020-21 Providing Specified Reapairs to Internal Electrification to Government B.C.Girls Hostel At Majalgaon Tq Majalgaon Dist Beed (For Covid-19)/ Etender/Notice12/2020-21 / 2020_PWDM_595001_6,Maharashtra,Works,,Covid Allied,9,638004.82,JAY ENTERPRISES,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,
174,10-Sep-2020 12:00 AM,15-Jul-2020 6:30 PM,Providing Electrical installtion and allied Electrical Work for New Covid Hospital at Tennis ground in Sports Complex KDMC Dombivali/ KDMC/ELECTRICAL/2020-21/5-3 / 2020_KDMC_594920_1,Maharashtra,Works,,Covid Ward,4,817753,UNISON ELECTRICALs,,,,,,,,,
175,31-Aug-2020 12:00 AM,15-Jul-2020 5:00 PM,"Proposed Construction Of Barrack (Covid-19), D.R.P. Line, Indore/ 04/2020-21/1 / 2020_MPPHC_97998_1",Madhya Pradesh,Works,,Covid Ward,7,4725000,RAJAT INFRATECH,,,,,,,,,
176,22-Jul-2020 1:55 PM,15-Jul-2020 11:16 AM,"Supply, delivery and installation of 1 no Dual Gas fired and Oil fired Crematorium and construction of amenities at Gopanapally for cremation of COVID 19 dead bodies in Serilingampally Circle-20,SLP Zone, GHMC (Item No.1)/ NIT.No.11/SE/Slp.Zone/GHMC/2020-21, Date: 14.07.2020 / 185262",Telegana,Works,,Covid Body Removal,2,7705349.7,K.YADAGIRI REDDY,,,,,,,,,
177,06-Oct-2020 12:00 AM,15-Jul-2020 10:00 AM,"E Tender for Diet with breakfast for Covid 19 Patient under DCH, DCHC and CCC under Beed District/ E Tender / Diet / 2020-21 / 2020_DHS_594472_1",Maharashtra,Services,,Covid Diet,8,129,"Machave Sushilkumar Bharatrao,YASHODHARA MAHILA AUDYOGIK SAHAKARI SANSTHA MARYADIT,PATEL CATERES,Shri Ganesh Mahila Bachat Gat,Nityarth Facility Management and Services,Hotel Annapurna And Mess",,,,,,,,,
178,12-Oct-2020 12:00 AM,14-Jul-2020 5:00 PM,E-Tender is inviting from Local Printing Firms for printing and supply of IEC/BCC materials/advertisement on COVID-19/ F.N.1-83/SHEB/DHS/IEC /COVID-19/ 2020/45 / 2020_DHS_499_1,Andaman and Nicobar Island,Goods,,Covid Information,3,341640,"SRI DESIGNS,GRAPHIC SCREEN",,,,,,,,,
179,05-Sep-2020 12:00 AM,14-Jul-2020 10:00 AM,HEALTH_ZP_CHANDRAPUR_Covid-19 _09/2020/ HEALTH_CHANDRAPUR_Covid-19 _09/20 / 2020_CHAND_594147_1,Maharashtra,Goods,,Covid Prevention,2,2320820,"girish medicose,MEDICAP HEALTHCARE LTD","N95 - 29rs/mask, reg surgical mask -0.2 /mask",,,,,,,,
180,13-Aug-2020 12:00 AM,13-Jul-2020 2:00 PM,Covid 19 Prevention/ Covid 19-933/A4/2020 / 2020_DoTE_171138_1,Tamil Nadu,Goods,,Covid Prevention,4,19942,"GM ELECTRONICS,Bright Power Solutions,Mechpro Technologies,BHARATH ELECTRIC MOTORS",hands free Hand sanitzer - 1980/unit and IR thermal scanner - 3500/unit,,,,,,,,
181,18-Sep-2020 12:00 AM,13-Jul-2020 11:00 AM,Construction of Covid-19 Testing Laboratory at District Hospital Hingoli Dist Hingoli/ 16 / 2020_PWR_593672_1,Maharashtra,Works,,Covid Detection,2,5501998,"Jangid brothers Developers and Engineers,PRATIK CONSTRUCTION",,,,,,,,,
182,30-Aug-2020 12:00 AM,11-Jul-2020 6:00 PM,Provide 450 daily Safai Workers for Cleaning and sanatory activity related to Covid Care Center and Quarantine Center/ Tender Notice No 40 / 2020_JCMCJ_593556_1,Maharashtra,Services,,Covid Prevention,3,42849810,"Deepak Uttaradhi,AARADHYA INFRASTRUCTURE,BHIMJYOT MAHILA BACHAT GAT",,,,,,,,,
183,24-Dec-2020 12:00 AM,11-Jul-2020 6:00 PM,"Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 (Construction of Medical Gas Pipeline System at Singimari, MMCH, and Sonapur)/ DIS-COV -19/26 / 2020_PWBNH_18148_1",Assam,Works,,Covid Ward,4,9766000,"ORIENTAL ENGINEERS,AXIS CONTRACTORS &ampamp ENGINEERS PVT LTD,Tribeni Constructions Limited",,,,,,,,,
184,08-Dec-2020 12:00 AM,11-Jul-2020 5:00 PM,"Reconstruction of fever Clinic _at GF_, Construction of Toilet for office _at SF_ and other allied works in connection with COVID emergency within Baghajatin State General Hospital during the year 2020_2021/ WBPWD/KSHD/EE/NIT-19 OF 2020-2021 / 2020_WBPWD_289290_2",West Bengal,Works,,Covid Ward,4,204507,B B C ENGINEERING WORKS,,,,,,,,,
185,05-Sep-2020 12:00 AM,11-Jul-2020 5:00 PM,"Emergent Remodeling of male and female ward at 2nd and 3rd floor of SDLD Building, connection with COVID_19, within the compound of IPGMER_SSKM Hospital during the year 2020_2021_Civil Work_/ WBPWD/KSHD/EE/NIT-20 OF 2020-2021 / 2020_WBPWD_289338_1",West Bengal,Works,,Covid Ward,6,343560,MAA SIDESHWARI CONSTRUCTION,,,,,,,,,
186,07-Aug-2020 12:00 AM,11-Jul-2020 3:00 PM,To provide Electric Kittle 1.5 liter capacity at the Isolation and Separtion center under covid -19 in MBMC area/ MBMC/PWD/Tender/29/2020-21 / 2020_MBMC_593405_1,Maharashtra,Goods,,Covid Diet,13,525,Royal Enterprises,,,,,,,,,
187,09-Sep-2020 12:00 AM,11-Jul-2020 11:00 AM,"E. No. 6034 of 2020-21 Prov. E.I. and erecting UPS for plasma therapy - Plasmapheresis lab at first floor, blood bank building for Covid-19 purpose in the premises of Government Medical College, Jalgaon Tal. and Dist. Jalgaon./ PWDEE_17_2020-21 / 2020_PWDM_593315_1",Maharashtra,Works,,Covid Ward,3,917712,"milind electric works,New R K Electricals,Sadimata Electricals",,,,,,,,,
188,24-Dec-2020 12:00 AM,11-Jul-2020 9:00 AM,"Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Dima Hasao. (Civil, Plumbing and STP, Electrical and Fire Fighting Works)./ DIS-COV -19/19A / 2020_PWBNH_18144_1",Assam,Works,,Covid Ward,5,13771000,"SURYA KANTA BISWAL,M/S ELITE AGENCY,KALYAN BHATTACHARJEE",,,,,,,,,
189,24-Dec-2020 12:00 AM,10-Jul-2020 2:30 PM,Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Karimganj./ DIS-COV -19/21 / 2020_PWBNH_18135_1,Assam,Works,,Covid Ward,2,47797000,"Abdul Quddus,SRI ABDUL MATIN",,,,,,,,,
190,24-Dec-2020 12:00 AM,10-Jul-2020 2:30 PM,Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Nalbari/ DIS-COV -19/04 / 2020_PWBNH_18117_1,Assam,Works,,Covid Ward,2,13400800,"GANESH TAMULI ENGINEERING PRIVATE LIMITED,M/S SUNRISE ENTERPRISE",,,,,,,,,
191,30-Dec-2020 12:00 AM,10-Jul-2020 2:30 PM,Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Hailakandi./ DIS-COV -19/20 / 2020_PWBNH_18134_1,Assam,Works,,Covid Ward,2,12922300,"Abdul Quddus,SRI ABDUL MATIN",,,,,,,,,
192,24-Dec-2020 12:00 AM,10-Jul-2020 2:30 PM,Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Kalapahar./ DIS-COV -19/23 / 2020_PWBNH_18138_1,Assam,Works,,Covid Ward,2,13249600,"ORIENTAL ENGINEERS,Tribeni Constructions Limited",,,,,,,,,
193,18-Aug-2020 12:00 AM,09-Jul-2020 5:00 PM,Supply of Bedsheet Pillow Solapuri Chadar etc for Covid 19&amp;#x0d; Patient at Jalgaon City Municipal Corporation Jalgaon/ Tender Notice No 19 / 2020_JCMCJ_592813_1,Maharashtra,Goods,,Covid Ward,9,215055,"Chaitanya Enterprises,Rayon Protection Pvt Ltd,Sai Supplier,lokshahi Mahila Grounyog Sahakari Society Limited,Vyankatesh Suppliers,K K COLLECTION,AMOL SALES CORPORATIONS",,,,,,,,,
194,15-Oct-2020 12:00 AM,09-Jul-2020 2:15 PM,"A.Supply, Customization, Integration, Testing,Commissioning Maintenance of Covid-19 Management Solution for Kolhapur District &amp;#x0d; B.Annual Maintenance BID/ Etender/001/2020 / 2020_KOLPR_592658_1",Maharashtra,Goods,,Covid Managemnt,3,3775000,Manorama Infosolutions Pvt. Ltd.,,,,,,,,,
195,24-Dec-2020 12:00 AM,09-Jul-2020 9:00 AM,Recall-Special repair of Govt. Medical College Chhainsa (Erstwhile Gold Field Institute of Medical Science and Research Faridabad) For Establishment of Exclusive of Exclusive COVID 19 Hospital in Faridabad District (Pdg. 1000 KVA Oil Type Transforme/ PWD (Elect.) 2020 / 2020_HRY_134801_1,Haryana,Works,,Covid Ward,3,7994000,HINDUSTAN VIDYUT UDYOG,,,,,,,,,
196,21-Sep-2020 12:00 AM,08-Jul-2020 10:45 AM,"Est.No.OW/1250/2020-2021 / Providing Electrical Installation in New PHC and Staff Quarters Building at Jarandi Tq.Soyagaon Dist Aurangabad (Part A, B ,C, D) ( For Covid - 19 Care centre)/ Etender/Notice11/2020-21 / 2020_PWDM_592225_1",Maharashtra,Works,,Covid Ward,5,2184635,M/S Vedant Electricals,,,,,,,,,
197,24-Sep-2020 12:00 AM,08-Jul-2020 10:45 AM,"Est.no. 1251/2020-21 Providing Electrical Installation To newly Constructed PHC Building and Staff Quarters (Type4 2Nos and Type2 8 Nos) at Sidhanathwadgaon Tq. Gangapur ,Dist.Aurangabad.( Part A,B,C,D) (For Covid 19 Care Centre)/ Etender/Notice11/2020-21 / 2020_PWDM_592225_2",Maharashtra,Works,,Covid Ward,9,2092470.68,Shrikrishna Electricals &ampamp Engineering,,,,,,,,,
198,16-Oct-2020 12:00 AM,08-Jul-2020 10:00 AM,Est.No.133203 of 2020-21 Prov.22 kv 100 Kva DRC to Primary Health Center for Covid-19 at Kshetra Mahuli at satara Dist.Satara./ Etender No.08 of 2020.21 / 2020_PWDM_591910_2,Maharashtra,Works,,Covid Ward,3,1373619,M/S SAIDATTA ELECTRICAL WORKS,,,,,,,,,
199,13-Aug-2020 12:00 AM,08-Jul-2020 10:00 AM,"Supply of Breakfast, Lunch,Dinner at the Quarantine Centre due to the outbreak of COVID-19/ CE/CWSMC/6/2020-21 / 2020_SMC_591942_1",Maharashtra,Services,,Covid Diet,16,218.5,"Suvarnraj Mahila Bachat gat ani suvarnaraj mahila mandal,Hotel Vaishnavi",,,,,,,,,
200,15-Dec-2020 12:00 AM,08-Jul-2020 10:00 AM,Est.No.133206 of 2020-21 Prov. Submersible and Openwell Pumpsets for Covid 19 at sub Dist.Hospitalat Koregaon Dist.Satara./ Etender No.08 of 2020.21 / 2020_PWDM_591910_1,Maharashtra,Works,,Covid Ward,3,435965,Nikam Electricals,,,,,,,,,
